"","","","","","","","",""
"","","총자산","","","","","",""
"","","","","","","","","","","","","2026-01-24 오전 6:13:20"
"","","계좌번호 :","","270-24-***411","","U.S ETF","",""
"","","순자산평가","","","33825720","","총자산평가","","33825720","대출/미납금액","","","0"
"","","주식","","","0","","선물옵션/CFD","","0","수익증권","","","0"
"","","ELW/워런트","","","0","","RP / 증금예금","","0","정기예금/타사상품","","","0"
"","","채권","","","0","","국내뮤추얼","","0","해외뮤추얼","","","0"
"","","CD/CP","","","0","","E/DLS","","0","신탁퇴직연금","","","0"
"","","전자단기사채","","",".","","CMA","","0","연금저축","","","."
"","","Wrap 평가금","","","0","","금융상품서비스","","0","외화자산","","","33825720"
"","","권리대용금","","","0","","상품청약금액","","0","금현물자산","","","."
"","","예수금합","","","0","","자금지원","","0","현금증거금합","","","0"
"","","인출가능금액","","","0","","신용융자금","","0","미수확보금","","","0"
"","","수표입금액","","","0","","대주금액","","0","미수금/연체료","","","0"
"","","기타수표입금액","","","0","","대주담보금","","0","이자미납/연체료","","","0"
"","","미상환융자금","","","0","","FNA대출약정금액","","0","현재담보비율","","",".00"
"","","담보부족금액","","","0","","담보부족반대매매일","","","최소유지비율","","","0"
"","","상품:","01","총매입금 :","26880771","","총평가금 :","30913557","미실현손익 :","4032786","","손익률 :","","15.00%"
"","","","","","","","","","","","","","","(채권단위 : 천원)"
"","종목코드","","","잔고수량","","주문가능수량","평균단가","","매입금액","미실현손익","신용금액","","","매수일","매입환율"
"","종목명","","","구분","","보유비중","현재가","","평가금액","손익률","대출일","","","만기일","현재환율"
"","JP3637270004","","","194","","194","1683.","","3078926","107872","0","","","","9.42"
"","트레져팩토리","","","현금","",".00","1772.","","3186798","3.50","","","","","9.27"
"","US14888U1016","","","48","","48","22.","","1587683","73958","0","","","","1445.75"
"","캐털리스트 파머슈티컬스(CATALYST PHARMACEUTICALS..","","","현금","",".00","23.","","1661641","4.66","","","","","1468.40"
"","US33817P4054","","","95","","95","19.","","2536445","-339352","0","","","","1400.84"
"","핏라이프 브랜즈(FITLIFE BRANDS INC)","","","현금","",".00","15.","","2197093","-13.38","","","","","1468.40"
"","US8085248628","","","82","","82","24.","","2930366","3996","0","","","","1466.40"
"","SCHWAB SHORT TERM US TREASURY","","","현금","",".00","24.","","2934362",".14","","","","","1468.40"
"","US88642R1095","","","161","","161","49.","","11121742","3152838","0","","","","1388.12"
"","타이드워터(TIDEWATER INC NEW)","","","현금","",".00","60.","","14274580","28.35","","","","","1468.40"
"","US9119221029","","","17","","17","122.","","3014336","178031","0","","","","1442.48"
"","유나이티드 스테이츠 라임 앤드 미네랄스(UNITED ST..","","","현금","",".00","127.","","3192367","5.91","","","","","1468.40"
"","US93627C1018","","","24","","24","76.","","2611273","855443","0","","","","1424.00"
"","워리어 멧 콜(WARRIOR MET COAL INC)","","","현금","",".00","98.","","3466716","32.76","","","","","1468.40"
"",""본 출력물은 회사의 공식적인 잔고(거래)증명서 양식이 아닙니다. 따라서 대외기관 등에 제출용도로 사용할 수 없으며, 
 회사의 공식 잔고(거래)증명서를 원하시는 고객께서는 영업점 고객지원팀에 발급을 의뢰하시거나 별도로 회사가 정한 
 절차를 이용하여 주시기 바랍니다. 본 출력물에는 고객의 금융거래정보가 포함되어 있으므로 정보유출로 인한 피해가 
 발생하지 않도록 유의하시기 바랍니다."","","","","","","",""
"","출력이 완료되었습니다. 감사합니다.","","","","","","",""
"SHINHAN SECURITIES.","","","","","","","","1"
