종목코드,잔고수량,주문가능수량,평균단가,매입금액,미실현손익,신용금액,매수일,매입환율,종목명,구분,보유비중,현재가,평가금액,수익률,대출일,만기일,현재환율
A466940,120.0,120.0,27039.0,3244695.0,-93495.0,0.0,,0.0,TIGER 은행고배당플러스TOP10,현금,8.81,26260.0,3151200.0,-2.88,,,0.0
IL0010818685,53.0,53.0,52.0,4116227.0,416579.0,0.0,,1492.05,이투란 로케이션 앤드 콘트롤(ITURAN LOCATION & CO..,현금,0.0,58.0,4532806.0,10.12,,,1450.8
JP3637270004,239.0,239.0,1683.0,3781563.0,-11288.0,0.0,,9.39,트레져팩토리,현금,0.0,1706.0,3770275.0,-0.3,,,9.24
US0565251081,1.0,1.0,122.0,181151.0,-3341.0,0.0,,1480.59,배저 미터(BADGER METER INC),현금,0.0,122.0,177810.0,-1.84,,,1450.8
US14888U1016,119.0,119.0,24.0,4114103.0,1266384.0,0.0,,1437.66,캐털리스트 파머슈티컬스(CATALYST PHARMACEUTICALS..,현금,0.0,31.0,5380487.0,30.78,,,1450.8
US45170X2053,100.0,100.0,4.0,724765.0,6438.0,0.0,,1476.09,아이덴티브(IDENTIV INC),현금,0.0,5.0,731203.0,0.89,,,1450.8
US5132721045,1.0,1.0,44.0,66019.0,-3592.0,0.0,,1480.57,램 웨스턴 홀딩스(LAMB WESTON HLDGS INC),현금,0.0,43.0,62427.0,-5.44,,,1450.8
US5260571048,1.0,1.0,95.0,141027.0,-13734.0,0.0,,1480.59,레나(LENNAR CORP),현금,0.0,87.0,127293.0,-9.74,,,1450.8
US88642R1095,117.0,117.0,49.0,8082259.0,5133977.0,0.0,,1388.12,타이드워터(TIDEWATER INC NEW),현금,0.0,77.0,13216236.0,63.52,,,1450.8
US9119221029,1.0,1.0,122.0,177313.0,-18770.0,0.0,,1442.47,유나이티드 스테이츠 라임 앤드 미네랄스(UNITED ST..,현금,0.0,109.0,158543.0,-10.59,,,1450.8
US93627C1018,35.0,35.0,83.0,4242177.0,218162.0,0.0,,1455.31,워리어 멧 콜(WARRIOR MET COAL INC),현금,0.0,87.0,4460339.0,5.14,,,1450.8
