종목코드,잔고수량,주문가능수량,평균단가,매입금액,미실현손익,신용금액,매수일,매입환율,종목명,구분,보유비중,현재가,평가금액,수익률,대출일,만기일,현재환율
A466940,106.0,106.0,27153.0,2878175.0,-68645.0,0.0,,0.0,TIGER 은행고배당플러스TOP10,현금,6.7,26505.0,2809530.0,-2.39,,,0.0
IL0010818685,44.0,44.0,51.0,3355633.0,402011.0,0.0,,1494.14,이투란 로케이션 앤드 콘트롤(ITURAN LOCATION & CO..,현금,8.97,57.0,3757644.0,11.98,,,1480.6
JP3637270004,194.0,194.0,1683.0,3078926.0,-73834.0,0.0,,9.42,트레져팩토리,현금,7.17,1671.0,3005092.0,-2.4,,,9.27
US0565251081,1.0,1.0,122.0,181151.0,-770.0,0.0,,1480.59,배저 미터(BADGER METER INC),현금,0.43,121.0,180381.0,-0.43,,,1480.6
US14888U1016,119.0,119.0,24.0,4114103.0,708255.0,0.0,,1437.66,캐털리스트 파머슈티컬스(CATALYST PHARMACEUTICALS..,현금,11.51,27.0,4822358.0,17.22,,,1480.6
US5132721045,1.0,1.0,44.0,66019.0,-399.0,0.0,,1480.57,램 웨스턴 홀딩스(LAMB WESTON HLDGS INC),현금,0.16,44.0,65620.0,-0.6,,,1480.6
US5260571048,1.0,1.0,95.0,141027.0,-1777.0,0.0,,1480.59,레나(LENNAR CORP),현금,0.33,94.0,139250.0,-1.26,,,1480.6
US88642R1095,117.0,117.0,49.0,8082259.0,7252078.0,0.0,,1388.12,타이드워터(TIDEWATER INC NEW),현금,36.59,88.0,15334337.0,89.73,,,1480.6
US9119221029,1.0,1.0,122.0,177313.0,17371.0,0.0,,1442.47,유나이티드 스테이츠 라임 앤드 미네랄스(UNITED ST..,현금,0.46,131.0,194684.0,9.8,,,1480.6
US93627C1018,35.0,35.0,83.0,4242177.0,248630.0,0.0,,1455.31,워리어 멧 콜(WARRIOR MET COAL INC),현금,10.72,86.0,4490807.0,5.86,,,1480.6
CASH,1.0,,,7110459.0,,,,,현금 및 예수금 (KRW/USD),현금,16.97,7110459.0,7110459.0,,,,
