Date,466940.KS,TDW,ADMA,TW,LEN,BMI,USLM,LW,FTLF,HMY,EVR,K.TO,IRMD,OPEN,SCHO,NICE,HCC,IGIC,PBR-A,AM,SM,ARIS.TO,ACGL,AMRZ,PL,CPRX,BRK-B,TIMB,3093.T,INVE,FIX,ITRN,494670.KS,Cash
2025-01-06,0.0,248099.58000140078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155365.70531792566,0.0,0.0,0.0,0.0,0.0,132982.19172768854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14714820.522952985
2025-01-07,0.0,252586.9970365679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151592.53597018681,0.0,0.0,0.0,0.0,0.0,134634.25799560547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14541845.20899764
2025-01-08,0.0,405364.8984709778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226641.64009739226,0.0,0.0,0.0,0.0,0.0,134531.20656938478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14380917.254862245
2025-01-09,0.0,488478.2603191864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303456.39608563855,0.0,0.0,0.0,0.0,0.0,135095.50282459706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14209095.840770578
2025-01-10,0.0,645656.4270759523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364165.2184293419,0.0,0.0,0.0,0.0,0.0,262436.169348523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14043615.185146183
2025-01-11,0.0,645656.4270759523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364165.2184293419,0.0,0.0,0.0,0.0,0.0,262436.169348523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13873241.185146183
2025-01-12,0.0,645656.4270759523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364165.2184293419,0.0,0.0,0.0,0.0,0.0,262436.169348523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13702867.185146183
2025-01-13,0.0,648732.2615661621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392971.4172363281,0.0,0.0,0.0,0.0,0.0,267448.9403915405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13525578.38080597
2025-01-14,0.0,717555.0737396395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541721.6345841833,0.0,0.0,0.0,0.0,0.0,402609.8679929534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13360250.423683224
2025-01-15,0.0,907824.0450132396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624986.0649508089,0.0,0.0,0.0,0.0,0.0,410179.1739770137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13180577.716058938
