"","","","","","","","",""
"","","총자산","","","","","",""
"","","","","","","","","","","","","2026-06-23 오전 6:58:49"
"","","계좌번호 :","","270-24-***411","","U.S ETF","",""
"","","순자산평가","","41619181","","","총자산평가","","41619181","대출/미납금액","","","0"
"","","주식","","5126520","","","선물옵션/CFD","","0","수익증권","","","0"
"","","ELW/워런트","","0","","","RP/증금예금/발행어음","","0","정기예금/타사상품","","","0"
"","","채권","","3060351","","","국내뮤추얼","","0","해외뮤추얼","","","0"
"","","CD/CP","","0","","","E/DLS","","0","신탁퇴직연금","","","0"
"","","전자단기사채","",".","","","CMA","","38840","연금저축","","","."
"","","Wrap 평가금","","0","","","금융상품서비스","","0","외화자산","","","33393470"
"","","권리대용금","","0","","","상품청약금액","","0","금현물자산","","","."
"","","예수금합","","0","","","자금지원","","0","현금증거금합","","","0"
"","","인출가능금액","","38840","","","신용융자금","","0","미수확보금","","","0"
"","","수표입금액","","0","","","대주금액","","0","미수금/연체료","","","0"
"","","기타수표입금액","","0","","","대주담보금","","0","이자미납/연체료","","","0"
"","","미상환융자금","","0","","","FNA대출약정금액","","0","현재담보비율","","",".00"
"","","담보부족금액","","0","","","담보부족반대매매일","","","최소유지비율","","","0"
"","","상품:","01","총매입금 :","29640505","","총평가금 :","33458823","미실현손익 :","3818318","","손익률 :","","12.88%"
"","","","","","","","","","","","","","","(채권단위 : 천원)"
"","종목코드","","","잔고수량","","주문가능수량","평균단가","","매입금액","미실현손익","신용금액","","","매수일","매입환율"
"","종목명","","","구분","","보유비중","현재가","","평가금액","손익률","대출일","","","만기일","현재환율"
"","A466940","","","204","","204","26445.","","5394832","-268312","0","","","",".00"
"","TIGER 은행고배당플러스TOP10","","","현금","","15.32","25130.","","5126520","-4.97","","","","",".00"
"","CA4969024047","","","1","","1","28.","","43397","-3027","0","","","","1507.88"
"","킨로스 골드(KINROSS GOLD CORP)","","","현금","",".00","26.","","40370","-6.98","","","","","1535.00"
"","IL0010818685","","","17","","17","52.","","1320299","354739","0","","","","1492.05"
"","이투란 로케이션 앤드 콘트롤(ITURAN LOCATION & CO..","","","현금","",".00","64.","","1675038","26.87","","","","","1535.00"
"","JP3637270004","","","160","","160","1683.","","2531590","576646","0","","","","9.39"
"","트레져팩토리","","","현금","",".00","2043.","","3108236","22.78","","","","","9.50"
"","US29977A1051","","","6","","6","346.","","3135482","309426","0","","","","1508.38"
"","에버코어(EVERCORE INC)","","","현금","",".00","374.","","3444908","9.87","","","","","1535.00"
"","US4132163001","","","1","","1","17.","","26689","-1915","0","","","","1507.85"
"","하모니 골드 마이닝(ADR)(HARMONY GOLD MINING CO S..","","","현금","",".00","16.","","24774","-7.18","","","","","1535.00"
"","US6536561086","","","1","","1","95.","","144096","-15049","0","","","","1513.29"
"","나이스(ADR)(NICE LTD ADR-EACH CNV INTO 1 ORD ILS1)","","","현금","",".00","84.","","129047","-10.44","","","","","1535.00"
"","US71654V1017","","","62","","62","16.","","1560373","-108079","0","","","","1519.26"
"","페트로브라스 우선주(ADR)(PETROLEO BRASILEIRO SA ..","","","현금","",".00","15.","","1452294","-6.93","","","","","1535.00"
"","US78454L1008","","","63","","63","31.","","3025102","-359913","0","","","","1503.22"
"","SM 에너지(SM ENERGY COMPANY)","","","현금","",".00","27.","","2665189","-11.90","","","","","1535.00"
"","US88642R1095","","","137","","137","54.","","10761943","3191130","0","","","","1429.02"
"","타이드워터(TIDEWATER INC NEW)","","","현금","",".00","66.","","13953073","29.65","","","","","1535.00"
"","US88706T1088","","","1","","1","22.","","33746","-882","0","","","","1513.27"
"","팀 브라질(ADR)(TIM S.A. SPON ADS EACH REP 5 ORD ..","","","현금","",".00","21.","","32864","-2.61","","","","","1535.00"
"","US8926721064","","","1","","1","101.","","152388","-1651","0","","","","1507.89"
"","트레이드웹 마케츠(TRADEWEB MARKETS INC)","","","현금","",".00","98.","","150737","-1.08","","","","","1535.00"
"","US9119221029","","","1","","1","122.","","177313","-6744","0","","","","1442.47"
"","유나이티드 스테이츠 라임 앤드 미네랄스(UNITED ST..","","","현금","",".00","111.","","170569","-3.80","","","","","1535.00"
"","US93627C1018","","","11","","11","83.","","1333255","151949","0","","","","1455.31"
"","워리어 멧 콜(WARRIOR MET COAL INC)","","","현금","",".00","87.","","1485204","11.40","","","","","1535.00"
"",""본 출력물은 회사의 공식적인 잔고(거래)증명서 양식이 아닙니다. 따라서 대외기관 등에 제출용도로 사용할 수 없으며, 
 회사의 공식 잔고(거래)증명서를 원하시는 고객께서는 영업점 고객지원팀에 발급을 의뢰하시거나 별도로 회사가 정한 
 절차를 이용하여 주시기 바랍니다. 본 출력물에는 고객의 금융거래정보가 포함되어 있으므로 정보유출로 인한 피해가 
 발생하지 않도록 유의하시기 바랍니다."","","","","","","",""
"","출력이 완료되었습니다. 감사합니다.","","","","","","",""
"SHINHAN SECURITIES.","","","","","","","","1"
