"","거래내역"
"","","","","","","","","","","","","","","","2026-02-24 오전 6:43:34"
"","계좌번호 :","270-24-***411","U.S ETF","상품 :","01","거래구분 :","전체","정렬 :","일자순","20250101","~","20260224"
"","일자","구분","종목번호","수량","","거래대금","미수발생/변제","","세전이자","수수료","","연체료","상대처","변동금액","대출일","처리자"
"","상품","적요","종목명","가격","","신용/대출금","신용/대출이자","","예탁금이용료","제세금","","대체계좌/채널","의뢰자명","최종금액","만기일"
"","2025/01/02","해외증권_해외주식매도","US9119221029","11","","1481.15",".","",".","1.23","",".","","1479."
"","01","해외주식매도","유나이티드 스테이츠","134.65","",".",".","",".",".","","신한 SOL증권(Android)","USD","2181."
"","2025/01/02","해외증권_해외주식매도","US1999081045","3","","1268.26",".","",".","1.05","",".","","1267."
"","01","해외주식매도","컴포트 시스템스 USA","422.753","",".",".","",".",".","","신한 SOL증권(Android)","USD","3448."
"","2025/01/02","해외증권_해외주식매도","US22266T1097","60","","1330.815",".","",".","1.1","",".","","1329."
"","01","해외주식매도","쿠팡","22.180","",".",".","",".",".","","신한 SOL증권(Android)","USD","4778."
"","2025/01/02","해외증권_해외주식매도","BMG4809J1062","60","","1412.4",".","",".","1.17","",".","","1411."
"","01","해외주식매도","인터내셔널 제너럴 인","23.54","",".",".","",".",".","","신한 SOL증권(Android)","USD","6189."
"","2025/01/02","해외증권_해외주식매수","US88642R1095","2","","108.08",".","",".",".09","",".","","108."
"","01","해외주식매수","타이드워터","54.04","",".",".","",".",".","","신한 SOL(HTS) 고객용","USD","6081."
"","2025/01/03","해외증권_해외주식매수","US88642R1095","1","","54.73",".","",".",".04","",".","","54."
"","01","해외주식매수","타이드워터","54.73","",".",".","",".",".","","신한 SOL(HTS) 고객용","USD","6026."
"","2025/01/03","해외증권_해외주식매수","US93627C1018","1","","54.685",".","",".",".04","",".","","54."
"","01","해외주식매수","워리어 멧 콜","54.685","",".",".","",".",".","","신한 SOL(HTS) 고객용","USD","5971."
"","2025/01/03","외화RP매수출금","USD","0","","5000",".","",".","0","",".","","5000."
"","01","","","1468.3","",".",".","",".",".","","","","971."
"","2025/01/03","외화RP매도입금","USD","0","","1001.83",".","",".","0","",".","","1001."
"","01","","","1468.3","",".",".","",".",".","","","","1973."
"","2025/01/03","환전출금","USD","0","",".17",".","",".","0","",".","","."
"","01","","","1468.3","",".",".","",".",".","","","","1973."
"","2025/01/03","환전입금","KRW","0","","250",".","",".","0","",".","","250."
"","01","","","0","",".",".","",".",".","","","","250."
"","2025/01/03","외화RP원천징수","2610","0","","250",".","",".","0","",".","","250."
"","01","","외화RP수시_온라인","0","",".",".","",".","250.","","","","."
"","2025/01/03","외화RP매수출금","USD","0","","1200",".","",".","0","",".","","1200."
"","01","","","1468.3","",".",".","",".",".","","","","773."
"","2025/01/06","해외증권_해외주식매수","US93627C1018","1","","55.3",".","",".",".04","",".","","55."
"","01","해외주식매수","워리어 멧 콜","55.3","",".",".","",".",".","","신한 SOL(HTS) 고객용","USD","717."
"","2025/01/06","해외증권_해외주식매수","BMG0450A1053","1","","92.065",".","",".",".07","",".","","92."
"","01","해외주식매수","아치 캐피털 그룹","92.065","",".",".","",".",".","","신한 SOL(HTS) 고객용","USD","625."
"","2025/01/07","해외증권_해외주식매도","JP3637270004","400","","569610",".","",".","1424","",".","","568186."
"","01","해외주식매도","트레져팩토리","1424.025","",".",".","",".",".","","신한 SOL증권(Android)","JPY","568186."
"","2025/01/08","해외증권_해외주식매수","US88642R1095","2","","115.06",".","",".",".09","",".","","115."
"","01","해외주식매수","타이드워터","57.53","",".",".","",".",".","","신한 SOL증권(Android)","USD","510."
"","2025/01/08","해외증권_해외주식매수","US93627C1018","1","","55.64",".","",".",".04","",".","","55."
"","01","해외주식매수","워리어 멧 콜","55.64","",".",".","",".",".","","신한 SOL(HTS) 고객용","USD","454."
"","SHINHAN SECURITIES."
"","일자","구분","종목번호","수량","거래대금","미수발생/변제","세전이자","수수료","연체료","상대처","변동금액","대출일","처리자","","",""
"","상품","적요","종목명","가격","신용/대출금","신용/대출이자","예탁금이용료","제세금","대체계좌/채널","의뢰자명","최종금액","만기일","","","",""
"","2025/01/09","해외증권_해외주식매수","US93627C1018","1","52.98",".",".",".04",".","","53.","","","","",""
"","01","해외주식매수","워리어 멧 콜","52.98",".",".",".",".","신한 SOL증권(Android)","USD","401.","","","","",""
"","2025/01/09","해외증권_해외주식매수","US88642R1095","1","57.9",".",".",".05",".","","57.","","","","",""
"","01","해외주식매수","타이드워터","57.9",".",".",".",".","신한 SOL증권(Android)","USD","344.","","","","",""
"","2025/01/10","해외증권_해외주식매수","US88642R1095","2","112.38",".",".",".09",".","","112.","","","","",""
"","01","해외주식매수","타이드워터","56.19",".",".",".",".","신한 SOL(HTS) 고객용","USD","231.","","","","",""
"","2025/01/10","해외증권_해외주식매수","US93627C1018","1","51.36",".",".",".04",".","","51.","","","","",""
"","01","해외주식매수","워리어 멧 콜","51.36",".",".",".",".","신한 SOL(HTS) 고객용","USD","180.","","","","",""
"","2025/01/10","해외증권_해외주식매수","BMG0450A1053","1","92.15",".",".",".07",".","","92.","","","","",""
"","01","해외주식매수","아치 캐피털 그룹","92.15",".",".",".",".","신한 SOL(HTS) 고객용","USD","87.","","","","",""
"","2025/01/10","외화RP매도입금","USD","0","6204.87",".",".","0",".","","6204.","","","","",""
"","01","","","1458.2",".",".",".",".","","","6292.","","","","",""
"","2025/01/10","환전출금","USD","0",".73",".",".","0",".","",".","","","","",""
"","01","","","1458.2",".",".",".",".","","","6292.","","","","",""
"","2025/01/10","환전입금","KRW","0","1080",".",".","0",".","","1080.","","","","",""
"","01","","","0",".",".",".",".","","","1080.","","","","",""
"","2025/01/10","외화RP원천징수","2611","0","1080",".",".","0",".","","1080.","","","","",""
"","01","","외화RP약정_온라인","0",".",".",".","1080.","","",".","","","","",""
"","2025/01/10","외화RP매수출금","USD","0","6000",".",".","0",".","","6000.","","","","",""
"","01","","미국달러","1458.2",".",".",".",".","","","292.","","","","",""
"","2025/01/10","환전출금","JPY","0","68186",".",".","0",".","","68186.","","","","",""
"","01","","일본엔(100)","913.79",".",".",".",".","","","500000.","","","","",""
"","2025/01/10","환전입금","KRW","0","623076",".",".","0",".","","623076.","","","","",""
"","01","","대한민국원","0",".",".",".",".","","","623076.","","","","",""
"","2025/01/10","환전출금","KRW","0","623076",".",".","0",".","","623076.","","","","",""
"","01","","","0",".",".",".",".","","",".","","","","",""
"","2025/01/10","환전입금","USD","0","426.58",".",".","0",".","","426.","","","","",""
"","01","","","1460.6",".",".",".",".","","","718.","","","","",""
"","2025/01/14","해외증권_해외주식매수","US93627C1018","1","50.93",".",".",".04",".","","50.","","","","",""
"","01","해외주식매수","워리어 멧 콜","50.93",".",".",".",".","신한 SOL(HTS) 고객용","USD","667.","","","","",""
"","2025/01/14","해외증권_해외주식매수","BMG0450A1053","1","90.6",".",".",".07",".","","90.","","","","",""
"","01","해외주식매수","아치 캐피털 그룹","90.6",".",".",".",".","신한 SOL(HTS) 고객용","USD","577.","","","","",""
"","2025/01/14","해외증권_해외주식매수","US93627C1018","1","50.94",".",".",".04",".","","50.","","","","",""
"","01","해외주식매수","워리어 멧 콜","50.94",".",".",".",".","신한 SOL(HTS) 고객용","USD","526.","","","","",""
"","2025/01/14","해외증권_해외주식매수","US88642R1095","1","55.83",".",".",".04",".","","55.","","","","",""
"","01","해외주식매수","타이드워터","55.83",".",".",".",".","신한 SOL(HTS) 고객용","USD","470.","","","","",""
"","2025/01/15","해외증권_해외주식매수","US88642R1095","1","55.39",".",".",".04",".","","55.","","","","",""
"","01","해외주식매수","타이드워터","55.39",".",".",".",".","신한 SOL(HTS) 고객용","USD","414.","","","","",""
"","SHINHAN SECURITIES.","","","","","","","","","","","","","","",""
"","일자","구분","종목번호","수량","거래대금","미수발생/변제","세전이자","수수료","연체료","상대처","변동금액","대출일","처리자","","",""
"","상품","적요","종목명","가격","신용/대출금","신용/대출이자","예탁금이용료","제세금","대체계좌/채널","의뢰자명","최종금액","만기일","","","",""
"","2025/01/15","해외증권_해외주식매수","US93627C1018","1","50.77",".",".",".04",".","","50.","","","","",""
"","01","해외주식매수","워리어 멧 콜","50.77",".",".",".",".","신한 SOL(HTS) 고객용","USD","363.","","","","",""
"","2025/01/15","해외증권_해외주식매수","US88642R1095","1","55.14",".",".",".04",".","","55.","","","","",""
"","01","해외주식매수","타이드워터","55.14",".",".",".",".","신한 SOL(HTS) 고객용","USD","308.","","","","",""
"","2025/01/17","해외증권_해외주식매수","US93627C1018","2","107.32",".",".",".09",".","","107.","","","","",""
"","01","해외주식매수","워리어 멧 콜","53.66",".",".",".",".","신한 SOL(HTS) 고객용","USD","201.","","","","",""
"","2025/01/17","해외증권_해외주식매수","US88642R1095","2","111.46",".",".",".09",".","","111.","","","","",""
"","01","해외주식매수","타이드워터","55.73",".",".",".",".","신한 SOL(HTS) 고객용","USD","89.","","","","",""
"","2025/01/17","해외증권_해외주식매수","US93627C1018","1","53.9",".",".",".04",".","","53.","","","","",""
"","01","해외주식매수","워리어 멧 콜","53.9",".",".",".",".","신한 SOL(HTS) 고객용","USD","35.","","","","",""
"","2025/01/17","외화RP매도입금","USD","0","6004.6",".",".","0",".","","6004.","","","","",""
"","01","","","1454.7",".",".",".",".","","","6040.","","","","",""
"","2025/01/17","환전출금","USD","0",".7",".",".","0",".","",".","","","","",""
"","01","","","1454.7",".",".",".",".","","","6039.","","","","",""
"","2025/01/17","환전입금","KRW","0","1020",".",".","0",".","","1020.","","","","",""
